h,n,annuli,L,U,switch_width,margin_from_previous
734,1468,5,42968385869939,127324919947915,1607941615,83453750224430
735,1470,5,43223774657206,128232934264846,1607941615,84101145290710
736,1472,5,43480259947943,129146201876985,1607941615,84752674316904
737,1474,5,43737844801206,130064745682538,1607941615,85408357075780
738,1476,5,43996532280217,130988588646189,1607941615,86068213402322
739,1478,5,44256325452364,131917753799196,1607941615,86732263193826
740,1480,5,44517227389201,132852264239487,1607941615,87400526409996
741,1482,5,44779241166448,133792143131756,1607941615,88073023073040
742,1484,5,45042369863991,134737413707559,1607941615,88749773267766
743,1486,5,45306616565882,135688099265410,1607941615,89430797141678
744,1488,5,45571984360339,136644223170877,1607941615,90116114905072
745,1490,5,45838476339746,137605808856678,1607941615,90805746831132
746,1492,5,46106095600653,138572879822777,1607941615,91499713256026
747,1494,5,46374845243776,139545459636480,1607941615,92198034579002
748,1496,5,46644728373997,140523571932531,1607941615,92900731262484
749,1498,5,46915748100364,141507240413208,1607941615,93607823832168
750,1500,5,47187907536091,142496488848419,1607941615,94319332877118
751,1502,5,47461209798558,143491341075798,1607941615,95035279049862
752,1504,5,47735658009311,144491821000801,1607941615,95755683066488
753,1506,5,48011255294062,145497952596802,1607941615,96480565706740
754,1508,5,48288004782689,146509759905189,1607941615,97209947814114
755,1510,5,48565909609236,147527267035460,1607941615,97943850295954
756,1512,5,48844972911913,148550498165319,1607941615,98682294123548
757,1514,5,49125197833096,149579477540772,1607941615,99425300332224
758,1516,5,49406587519327,150614229476223,1607941615,100172890021446
759,1518,5,49689145121314,151654778354570,1607941615,100925084354910
760,1520,5,49972873793931,152701148627301,1607941615,101681904560640
761,1522,5,50257776696218,153753364814590,1607941615,102443371931084
762,1524,5,50543856991381,154811451505393,1607941615,103209507823210
763,1526,5,50831117846792,155875433357544,1607941615,103980333658602
764,1528,5,51119562433989,156945335097851,1607941615,104755870923556
765,1530,5,51409193928676,158021181522192,1607941615,105536141169176
766,1532,5,51700015510723,159102997495611,1607941615,106321166011470
767,1534,5,51992030364166,160190807952414,1607941615,107110967131446
768,1536,5,52285241677207,161284637896265,1607941615,107905566275208
769,1538,5,52579652642214,162384512400282,1607941615,108704985254052
770,1540,5,52875266455721,163490456607133,1607941615,109509245944562
771,1542,5,53172086318428,164602495729132,1607941615,110318370288706
772,1544,5,53470115435201,165720655048335,1607941615,111132380293932
773,1546,5,53769357015072,166844959916636,1607941615,111951298033264
774,1548,5,54069814271239,167975435755863,1607941615,112775145645398
775,1550,5,54371490421066,169112108057874,1607941615,113603945334798
776,1552,5,54674388686083,170255002384653,1607941615,114437719371792
777,1554,5,54978512291986,171404144368406,1607941615,115276490092668
778,1556,5,55283864468637,172559559711657,1607941615,116120279899770
779,1558,5,55590448450064,173721274187344,1607941615,116969111261594
780,1560,5,55898267474461,174889313638915,1607941615,117823006712884
781,1562,5,56207324784188,176063703980424,1607941615,118681988854728
782,1564,5,56517623625771,177244471196627,1607941615,119546080354654
783,1566,5,56829167249902,178431641343078,1607941615,120415303946726
784,1568,5,57141958911439,179625240546225,1607941615,121289682431640
785,1570,5,57456001869406,180825295003506,1607941615,122169238676820
786,1572,5,57771299386993,182031830983445,1607941615,123053995616514
787,1574,5,58087854731556,183244874825748,1607941615,123943976251890
788,1576,5,58405671174617,184464452941399,1607941615,124839203651132
789,1578,6,67827270353432,176588073451188,12672515567,116637182587968
790,1580,6,68249495953167,177718922503631,12672515567,108338577498022
791,1582,6,68673493595538,178855884386426,12672515567,109045428908094
792,1584,6,69099267983131,179998984382229,12672515567,109756616403296
793,1586,6,69526823824490,181148247843662,12672515567,110472160557740
794,1588,6,69956165834117,182303700193409,12672515567,111192082009546
795,1590,6,70387298732472,183465366924312,12672515567,111916401460938
796,1592,6,70820227245973,184633273599467,12672515567,112645139678340
797,1594,6,71254956106996,185807445852320,12672515567,113378317492472
798,1596,6,71691490053875,186987909386763,12672515567,114115955798446
799,1598,6,72129833830902,188174689977230,12672515567,114858075555862
800,1600,6,72569992188327,189367813468793,12672515567,115604697788904
801,1602,6,73011969882358,190567305777258,12672515567,116355843586436
802,1604,6,73455771675161,191773192889261,12672515567,117111534102098
803,1606,6,73901402334860,192985500862364,12672515567,117871790554402
804,1608,6,74348866635537,194204255825151,12672515567,118636634226828
805,1610,6,74798169357232,195429483977324,12672515567,119406086467920
806,1612,6,75249315285943,196661211589799,12672515567,120180168691382
807,1614,6,75702309213626,197899465004802,12672515567,120958902376174
808,1616,6,76157155938195,199144270635965,12672515567,121742309066608
809,1618,6,76613860263522,200395654968422,12672515567,122530410372444
810,1620,6,77072426999437,201653644558905,12672515567,123323227968986
811,1622,6,77532860961728,202918266035840,12672515567,124120783597178
